Year,Employment Rate
1971,71.80
1972,72.00
1973,72.90
1974,73.00
1975,72.60
1976,71.90
1977,71.60
1978,71.60
1979,71.80
1980,70.80
1981,68.50
1982,66.80
1983,65.90
1984,66.80
1985,67.40
1986,67.70
1987,68.80
1988,70.90
1989,72.50
1990,72.70
1991,70.70
1992,69.00
1993,68.40
1994,68.90
1995,69.50
1996,70.00
1997,71.00
1998,71.50
1999,72.10
2000,72.50
2001,72.60
2002,72.70
2003,72.80
2004,72.90
2005,72.90
2006,72.80
2007,72.70
2008,72.60
2009,70.90
2010,70.40
2011,70.30
2012,71.00
2013,71.60
2014,72.90
2015,73.70
2016,74.40
2017,75.00
2018,75.60
