year,energy expenditure
1970,5070
1971,5550
1972,6000
1973,6615
1974,9180
1975,11380
1976,13670
1977,15985
1978,17030
1979,21255
1980,25705
1981,29760
1982,32450
1983,34910
1984,36575
1985,39910
1986,37780
1987,38670
1988,39185
1989,42340
1990,46155
1991,49440
1992,50320
1993,52205
1994,53190
1995,53915
1996,57020
1997,58120
1998,57940
1999,64795
2000,65425
2001,63905
2002,62280
2003,64345
2004,76070
2005,86125
2006,98070
2007,100625
2008,117430
2009,106600
2010,116540
2011,124680
2012,131255
2013,133205
2014,125925
2015,115165
2016,111675
2017,118630
2018,128320
