year,trade union members (Thousands)
1892,1576
1893,1559
1894,1530
1895,1504
1896,1608
1897,1731
1898,1752
1899,1911
1900,2022
1901,2025
1902,2013
1903,1994
1904,1967
1905,1997
1906,2210
1907,2513
1908,2485
1909,2477
1910,2565
1911,3139
1912,3416
1913,4135
1914,4145
1915,4359
1916,4644
1917,5499
1918,6533
1919,7926
1920,8348
1921,6633
1922,5625
1923,5429
1924,5544
1925,5506
1926,5219
1927,4919
1928,4806
1929,4858
1930,4842
1931,4624
1932,4444
1933,4392
1934,4590
1935,4867
1936,5295
1937,5842
1938,6053
1939,6298
1940,6613
1941,7165
1942,7867
1943,8174
1944,8087
1945,7875
1946,8803
1947,9145
1948,9362
1949,9318
1950,9289
1951,9535
1952,9588
1953,9527
1954,9566
1955,9741
1956,9778
1957,9829
1958,9639
1959,9623
1960,9835
1961,9916
1962,10014
1963,10067
1964,10218
1965,10325
1966,10259
1967,10191
1968,10193
1969,10472
1970,11179
1971,11128
1972,11350
1973,11444
1974,11755
1974,11044.46
1975,11656.418
1976,12132.773
1977,12718.911
1978,13053.596
1979,13212.354
1980,12636.355
1981,12311.234
1982,11744.39
1983,11299.879
1984,10773.953
1985,10818.949
1986,10598.008
1987,10480.15
1988,10387.238
1989,10043.606
1990,9810.019
1991,9489.034
1992,8928.902
1993,8665.944
1994,8230.545
1995,8031.326
1996,7938.213
1997,7801.315
1998,7851.904
1999,7897.519
2000,7779.393
2001,7750.99
2002,7735.983
2003,7559.062
2004,7473
2005,7602.842
2006,7627.693
2007,7656
2008,7388
