ethnic group,Female,Male
All Ethnic groups,51,49
White,51,49
White - British,51,49
White - Irish,52,48
White - Gypsy or Irish Traveller,50,50
White - Any other,53,47
Mixed,50,50
Mixed - White and Black Caribbean,50,50
Mixed - White and Black African,50,50
Mixed - White and Asian,49,51
Mixed - Any other,51,49
Asian,50,50
Asian - Indian,49,51
Asian - Pakistani,49,51
Asian - Bangladeshi,48,52
Asian - Chinese,53,47
Asian - Any other,51,49
Black,52,48
Black - African,52,48
Black - Caribbean,53,47
Black - Any other,50,50
Other,45,55
Other - Arab,42,58
Other - Any other,46,54
